OBJECTID,L_HOOD,S_HOOD,S_HOOD_ALT_NAMES,Shape__Area,Shape__Length
27,Ballard,Loyal Heights,,21320655.5455933,18831.00959637
28,Ballard,Ballard,Adams,22552132.9700012,29926.3393002841
29,Ballard,Whittier Heights,,14195687.4919434,15934.4392663199
30,Ballard,West Woodland,,22199366.8730164,21789.6510873493
31,North Central,Phinney Ridge,Woodland Park,32123117.8777466,27120.7859379681
32,North Central,Wallingford,"Meridian, Tangle Town, Northlake",42068342.6137695,33040.2469861198
33,North Central,Fremont,,26503756.5718689,25999.2849357187
34,North Central,Green Lake,,37314629.7898865,25387.7074962486
35,Northeast,View Ridge,,25612979.9440918,22657.0394732799
36,Northeast,Ravenna,University Village,36783391.5366516,31163.6208763331
37,Northeast,Sand Point,,19249857.1397095,21396.6958008648
38,Northeast,Bryant,,15485078.0333252,20928.0017243062
39,Northeast,Windermere,Hawthorne Hills,22363966.6230164,33332.8291968304
40,Northeast,Laurelhurst,,19051776.8183594,26489.2422321737
41,Northeast,Roosevelt,Fairview,21491594.324707,22866.0797374364
42,University District,University of Washington,,25523675.1180115,30983.2126641678
43,Queen Anne,East Queen Anne,,19354699.5965576,21488.397378299
44,Queen Anne,West Queen Anne,,17974985.9528503,20631.7057292923
45,Queen Anne,Lower Queen Anne,"Uptown, Seattle Center",17515624.4566956,20496.7289222394
46,Queen Anne,North Queen Anne,,29604288.333252,26753.5542817429
47,Cascade,Westlake,,3645184.07894897,11017.3231739615
48,Cascade,Eastlake,,7426907.96139526,16672.5117837403
49,Cascade,South Lake Union,,16107105.419342,29323.5462843847
50,Magnolia,Lawton Park,,55091525.290863,38766.0673349107
51,Magnolia,Briarcliff,Carleton Park,26550936.5782471,26609.7912261135
52,Magnolia,Southeast Magnolia,,18469263.8882751,20223.1801501522
53,Central Area,Madrona,,13845482.8085938,17052.9427067693
54,Central Area,Harrison/Denny-Blaine,,13603395.6731873,17241.2743191595
55,Central Area,Minor,"Central District, Squire Park",17933144.708252,18241.5487859812
56,Central Area,Leschi,,18091741.3764954,20413.0560516882
57,Central Area,Mann,"Central District, Garfield",11133828.8620605,17843.105758736
58,Central Area,Atlantic,"Judkins Park, Jackson Place, Coleman",20664986.2726135,25426.2311626675
59,Downtown,Pike-Market,Pike Place Market,2343359.32580566,7326.58173024624
